timestamp,open,high,low,close,volume
2023-10-01,26967.5,28052.1,26960.0,27989.4,21345
2023-10-02,27989.4,28580.0,27284.1,27498.7,35123
2023-10-03,27498.7,27670.3,27161.4,27435.5,18942
2023-10-04,27435.5,27845.0,27233.1,27771.6,15678
2023-10-05,27771.6,28091.7,27351.0,27415.4,19800
2023-10-06,27415.4,28271.8,27059.2,27928.9,25134
2023-10-07,27928.9,28014.5,27878.1,27945.7,11234
2023-10-08,27945.7,28082.9,27702.3,27914.5,13456
2023-10-09,27914.5,27999.0,27251.5,27585.8,21098
2023-10-10,27585.8,27716.4,27315.6,27393.2,16789
2023-10-11,27393.2,27483.9,26543.1,26871.9,23456
2023-10-12,26871.9,26922.3,26549.4,26749.1,17890
2023-10-13,26749.1,27050.0,26678.9,26859.3,14567
2023-10-14,26859.3,26987.4,26802.1,26852.1,9876
2023-10-15,26852.1,27289.4,26815.7,27156.4,12345
2023-10-16,27156.4,29971.0,27116.7,28509.6,67890
2023-10-17,28509.6,28620.0,28100.0,28399.7,34567
2023-10-18,28399.7,28929.5,28088.8,28325.2,29876
2023-10-19,28325.2,28888.8,28148.4,28704.9,24567
2023-10-20,28704.9,30130.0,28581.8,29668.6,45678
2023-10-21,29668.6,30351.4,29450.0,29906.5,21345
2023-10-22,29906.5,30219.0,29683.4,29994.4,18901
2023-10-23,29994.4,34741.0,29878.7,33077.5,98765
2023-10-24,33077.5,35150.0,32840.1,33912.8,76543
2023-10-25,33912.8,35133.0,33682.0,34493.5,45678
2023-10-26,34493.5,34825.0,33737.5,34149.2,34567
2023-10-27,34149.2,34241.7,33385.8,33894.2,29876
2023-10-28,33894.2,34380.0,33859.3,34079.7,17890
2023-10-29,34079.7,34743.8,33916.1,34522.6,15678
2023-10-30,34522.6,34863.0,34062.6,34495.3,21345
2023-10-31,34495.3,34690.0,34045.0,34658.0,19876
