timestamp,open,high,low,close,volume
2023-10-01,1671.0,1735.0,1668.5,1732.1,154320
2023-10-02,1732.1,1749.9,1650.0,1663.0,210987
2023-10-03,1663.0,1674.8,1635.1,1655.4,123456
2023-10-04,1655.4,1659.8,1626.5,1646.8,112345
2023-10-05,1646.8,1650.0,1607.0,1622.7,134567
2023-10-06,1622.7,1652.8,1610.9,1645.1,145678
2023-10-07,1645.1,1647.5,1628.2,1635.0,87654
2023-10-08,1635.0,1643.0,1615.5,1633.2,98765
2023-10-09,1633.2,1638.5,1565.0,1579.5,165432
2023-10-10,1579.5,1588.4,1551.4,1567.8,143210
2023-10-11,1567.8,1577.9,1545.0,1566.2,154321
2023-10-12,1566.2,1568.0,1523.5,1539.0,176543
2023-10-13,1539.0,1560.8,1534.5,1553.0,132109
2023-10-14,1553.0,1564.0,1543.0,1555.2,76543
2023-10-15,1555.2,1567.5,1547.0,1558.4,87654
2023-10-16,1558.4,1634.0,1552.1,1596.5,234567
2023-10-17,1596.5,1600.0,1555.5,1566.0,187654
2023-10-18,1566.0,1588.0,1553.0,1565.2,165432
2023-10-19,1565.2,1578.0,1541.0,1568.1,143210
2023-10-20,1568.1,1629.5,1557.0,1604.5,198765
2023-10-21,1604.5,1638.0,1595.0,1628.7,123456
2023-10-22,1628.7,1675.0,1615.0,1663.0,134567
2023-10-23,1663.0,1799.0,1655.0,1767.5,345678
2023-10-24,1767.5,1852.0,1750.0,1785.0,298765
2023-10-25,1785.0,1812.5,1753.0,1789.2,187654
2023-10-26,1789.2,1850.0,1760.0,1795.5,176543
2023-10-27,1795.5,1805.0,1750.0,1780.0,154321
2023-10-28,1780.0,1801.5,1771.0,1789.0,109876
2023-10-29,1789.0,1812.0,1775.5,1794.5,110987
2023-10-30,1794.5,1832.0,1785.0,1810.2,143210
2023-10-31,1810.2,1825.0,1780.0,1815.5,132109
